STATE_NAME,DISTRICT_NAME,GAUL_CODE,GAUL_NAME
Uttar Pradesh,FARRUKHABAD,17908,Farrukhabad
Uttar Pradesh,FATEHPUR,17909,Fatehpur
Uttar Pradesh,FIROZABAD,70264,Firozabad
Uttar Pradesh,GAUTAM BUDDHA NAGAR,70265,Gautam Buddha Nagar
Uttar Pradesh,GHAZIABAD,17911,Ghaziabad
Uttar Pradesh,GHAZIPUR,17912,Ghazipur
Uttar Pradesh,GONDA,17913,Gonda
Uttar Pradesh,GORAKHPUR,17914,Gorakhpur
Uttar Pradesh,HAMIRPUR,17915,Hamirpur
Uttar Pradesh,HARDOI,17916,Hardoi
Uttar Pradesh,HATHRAS,70266,Hathras
Uttar Pradesh,JALAUN,17917,Jalaun
Uttar Pradesh,JAUNPUR,17918,Jaunpur
Uttar Pradesh,JHANSI,17919,Jhansi
Uttar Pradesh,KANNAUJ,70268,Kannauj
Uttar Pradesh,KANPUR DEHAT,70269,Kanpur Dehat
Uttar Pradesh,KANPUR NAGAR,17920,Kanpur
Uttar Pradesh,KASGANJ,17905,Etah
Uttar Pradesh,KAUSHAMBI,70270,Kaushambi
Uttar Pradesh,KHERI,17921,Lakhimpur Kheri
Uttar Pradesh,KUSHI NAGAR,70271,Kushinagar
Uttar Pradesh,LALITPUR,17922,Lalitpur
Uttar Pradesh,LUCKNOW,17923,Lucknow
Uttar Pradesh,MAHARAJGANJ,70272,Maharajganj
Uttar Pradesh,MAHOBA,70273,Mahoba
Uttar Pradesh,MAINPURI,17924,Mainpuri
Uttar Pradesh,MATHURA,17925,Mathura
Uttar Pradesh,MAU,70274,Mau
Uttar Pradesh,MEERUT,17926,Meerut
Uttar Pradesh,MIRZAPUR,17927,Mirzapur
Uttar Pradesh,MORADABAD,17928,Moradabad
Uttar Pradesh,MUZAFFARNAGAR,17929,Muzaffarnagar
Uttar Pradesh,PILIBHIT,17931,Pilibhit
Uttar Pradesh,PRATAPGARH,17933,Pratapgarh
Uttar Pradesh,RAE BARELI,17934,Rae Bareli
Uttar Pradesh,RAMPUR,17935,Rampur
Uttar Pradesh,SAHARANPUR,17936,Saharanpur
Uttar Pradesh,SANT KABEER NAGAR,70275,Sant Kabir Nagar
Uttar Pradesh,SANT RAVIDAS NAGAR,70276,Sant Ravi Das Nagar
Uttar Pradesh,SHAHJAHANPUR,17937,Shahjahanpur
Uttar Pradesh,SHRAVASTI,70277,Shravasti
Uttar Pradesh,SIDDHARTH NAGAR,70278,Siddharth Nagar
Uttar Pradesh,SITAPUR,17938,Sitapur
Uttar Pradesh,SONBHADRA,70279,Sonbhadra
Uttar Pradesh,SULTANPUR,17939,Sultanpur
Uttar Pradesh,UNNAO,17941,Unnao
Uttar Pradesh,VARANASI,17943,Varanasi
West Bengal,24 PARAGANAS NORTH,70293,North 24 Parganas
West Bengal,24 PARAGANAS SOUTH,70294,South 24 Parganas
West Bengal,BANKURA,17945,Bankura
West Bengal,BARDHAMAN,17946,Barddhaman
West Bengal,BIRBHUM,17947,Birbhum
West Bengal,COOCHBEHAR,17952,Kochbihar
West Bengal,DARJEELING,17948,Darjiling
West Bengal,DINAJPUR DAKSHIN,70290,Dakshin Dinajpur
West Bengal,DINAJPUR UTTAR,70295,Uttar Dinajpur
West Bengal,HOOGHLY,17950,Hugli
West Bengal,HOWRAH,17949,Haora
West Bengal,JALPAIGURI,17951,Jalpaiguri
West Bengal,MALDAH,17953,Maldah
West Bengal,MEDINIPUR EAST,70291,East Midnapore
West Bengal,MEDINIPUR WEST,70296,West Midnapore
West Bengal,MURSHIDABAD,17955,Murshidabad
West Bengal,NADIA,17956,Nadia
West Bengal,PURULIA,17957,Puruliya
