State,,District,GAUL_CODE,GAUL_NAME
Himachal Pradesh,1493,Hamirpur,17668,Hamirpur
Himachal Pradesh,1493,Kangra,17669,Kangra
Himachal Pradesh,1493,Kinnaur,191,Kinnaur
Himachal Pradesh,1493,Kullu,17671,Kullu
Himachal Pradesh,1493,Lahul and Spiti,193,Lahul & Spiti
Himachal Pradesh,1493,Mandi,17673,Mandi
Himachal Pradesh,1493,Shimla,17674,Shimla
Himachal Pradesh,1493,Sirmaur,17675,Sirmaur
Himachal Pradesh,1493,Solan,17676,Solan
Himachal Pradesh,1493,Una,17677,Una
Jammu and Kashmir,40781,Anantnag (Kashmir South),199,Anantnag
Jammu and Kashmir,40781,Bagdam,200,Badgam
Jammu and Kashmir,40781,Bandipora,202,Baramulla
Jammu and Kashmir,40781,Baramula (Kashmir North),202,Baramulla
Jammu and Kashmir,40781,Doda,203,Doda
Jammu and Kashmir,40781,Ganderbal,219,Srinagar
Jammu and Kashmir,40781,Jammu,205,Jammu
Jammu and Kashmir,40781,Kargil,206,Kargil
Jammu and Kashmir,40781,Kathua,207,Kathua
Jammu and Kashmir,40781,Kishtwar,203,Doda
Jammu and Kashmir,40781,Kulgam,199,Anantnag
Jammu and Kashmir,40781,Kupwara (Muzaffarabad),210,Kupwara
Jammu and Kashmir,40781,Ladakh (Leh),211,Leh (Ladakh)
Jammu and Kashmir,40781,Pulwama,212,Poonch
Jammu and Kashmir,40781,Punch,213,Pulwama
Jammu and Kashmir,40781,Rajauri,214,Rajouri
Jammu and Kashmir,40781,Ramban,203,Doda
Jammu and Kashmir,40781,Reasi,220,Udhampur
Jammu and Kashmir,40781,Samba,205,Jammu
Jammu and Kashmir,40781,Shopian,213,Pulwama
Jammu and Kashmir,40781,Srinagar,219,Srinagar
Jammu and Kashmir,40781,Udhampur,220,Udhampur
Jharkhand,70078,Bokaro,70139,Bokaro
Jharkhand,70078,Chatra,70140,Chatra
Jharkhand,70078,Deoghar,17600,Deoghar
Jharkhand,70078,Dhanbad,70141,Dhanbad
Jharkhand,70078,Dumka,70142,Dumka
Jharkhand,70078,Garhwa,70143,Garhwa
Jharkhand,70078,Giridih,70144,Giridih
Jharkhand,70078,Godda,17603,Godda
Jharkhand,70078,Gumla,70145,Gumla
Jharkhand,70078,Hazaribag,70146,Hazaribag
Jharkhand,70078,Jamtara,70142,Dumka
Jharkhand,70078,Khunti,17622,Ranchi
Jharkhand,70078,Koderma,70148,Koderma
Jharkhand,70078,Latehar,70151,Palamu
Jharkhand,70078,Lohardaga,17610,Lohardaga
Jharkhand,70078,Pakur,70150,Pakur
Jharkhand,70078,Palamu,70151,Palamu
Jharkhand,70078,Pashchim Singhbhum,70152,Pashchim Singhbhum
Jharkhand,70078,Purba Singhbhum,70153,Purba Singhbhum
Jharkhand,70078,Ramgarh,70146,Hazaribag
Jharkhand,70078,Ranchi,17622,Ranchi
Jharkhand,70078,Sahibganj,70154,Sahibganj
Jharkhand,70078,Saraikela Kharsawan,70152,Pashchim Singhbhum
Jharkhand,70078,Simdega,70145,Gumla
Karnataka,1494,Bagalkot,70157,Bagalkot
Karnataka,1494,Bangalore,70159,Bangalore Urban
Karnataka,1494,Bangalore Rural,70158,Bangalore Rural
Karnataka,1494,Belgaum,17679,Belgaum
Karnataka,1494,Bellary,17680,Bellary
Karnataka,1494,Bidar,17681,Bidar
Karnataka,1494,Bijapur,17682,Bijapur
Karnataka,1494,Chamrajnagar,70160,Chamrajnagar
Karnataka,1494,Chikballapur,17690,Kolar
Karnataka,1494,Chikmagalur,17683,Chikmagalur
Karnataka,1494,Chitradurga,70161,Chitradurga
Karnataka,1494,Dakshin Kannad,17685,Dakshin Kannad
Karnataka,1494,Davanagere,70162,Davanagere
Karnataka,1494,Dharwad,17686,Dharwad
Karnataka,1494,Gadag,70163,Gadag
Karnataka,1494,Gulbarga,17687,Gulbarga
Karnataka,1494,Hassan,17688,Hassan
Karnataka,1494,Haveri,70164,Haveri
Karnataka,1494,Kodagu,17689,Kodagu
Karnataka,1494,Kolar,17690,Kolar
Karnataka,1494,Koppal,70165,Koppal
Karnataka,1494,Mandya,17691,Mandya
Karnataka,1494,Mysore,17692,Mysore
Karnataka,1494,Raichur,17693,Raichur
Karnataka,1494,Ramanagara,70158,Bangalore Rural
Karnataka,1494,Shimoga,17694,Shimoga
Karnataka,1494,Tumkur,17695,Tumkur
Karnataka,1494,Udupi,70166,Udupi
Karnataka,1494,Uttar Kannand,17696,Uttar Kannand
Karnataka,1494,Yadgir,17687,Gulbarga
Kerala,1495,Alappuzha,70298,Alappuzha
Kerala,1495,Ernakulam,17699,Ernakulam
Kerala,1495,Idukki,17700,Idukki
Kerala,1495,Kannur,17698,Kannur
Kerala,1495,Kasaragod,17701,Kasaragod
Kerala,1495,Kollam,17707,Kollam
Kerala,1495,Kottayam,17702,Kottayam
Kerala,1495,Kozhikode,17703,Kozhikode
Kerala,1495,Malappuram,17704,Malappuram
Kerala,1495,Palakkad,17705,Palakkad
Kerala,1495,Pattanamtitta,17706,Pattanamtitta
Kerala,1495,Thiruvananthapuram,17709,Thiruvananthapuram
Kerala,1495,Thrissur,17708,Thrissur
Kerala,1495,Wayanad,17710,Wayanad
Madhya Pradesh,70079,Alirajpur,17731,Jhabua
Madhya Pradesh,70079,Anuppur,17748,Shahdol
Madhya Pradesh,70079,Ashoknagar,17726,Guna
Madhya Pradesh,70079,Balaghat,17712,Balaghat
Madhya Pradesh,70079,Barwani,70170,Barwani
Madhya Pradesh,70079,Betul,17714,Betul
Madhya Pradesh,70079,Bhind,17715,Bhind
Madhya Pradesh,70079,Bhopal,17716,Bhopal
Madhya Pradesh,70079,Burhanpur,17725,East Nimar
Madhya Pradesh,70079,Chhatarpur,17718,Chhatarpur
Madhya Pradesh,70079,Chhindwara,17719,Chhindwara
Madhya Pradesh,70079,Damoh,17720,Damoh
Madhya Pradesh,70079,Datia,17721,Datia
