"ADM0_CODE","ADM0_NAME","ADM1_CODE","ADM1_NAME","ADM2_CODE","ADM2_NAME"
115,"India",40781,"Jammu & Kashmir",219,"Srinagar"
115,"India",40781,"Jammu & Kashmir",220,"Udhampur"
115,"India",70078,"Jharkhand",70139,"Bokaro"
115,"India",70078,"Jharkhand",70140,"Chatra"
115,"India",70078,"Jharkhand",17600,"Deoghar"
115,"India",70078,"Jharkhand",70141,"Dhanbad"
115,"India",70078,"Jharkhand",70142,"Dumka"
115,"India",70078,"Jharkhand",70143,"Garhwa"
115,"India",70078,"Jharkhand",70144,"Giridih"
115,"India",70078,"Jharkhand",17603,"Godda"
115,"India",70078,"Jharkhand",70145,"Gumla"
115,"India",70078,"Jharkhand",70146,"Hazaribag"
115,"India",70078,"Jharkhand",70148,"Koderma"
115,"India",70078,"Jharkhand",17610,"Lohardaga"
115,"India",70078,"Jharkhand",70150,"Pakur"
115,"India",70078,"Jharkhand",70151,"Palamu"
115,"India",70078,"Jharkhand",70152,"Pashchim Singhbhum"
115,"India",70078,"Jharkhand",70153,"Purba Singhbhum"
115,"India",70078,"Jharkhand",17622,"Ranchi"
115,"India",70078,"Jharkhand",70154,"Sahibganj"
115,"India",1494,"Karnataka",70157,"Bagalkot"
115,"India",1494,"Karnataka",70158,"Bangalore Rural"
115,"India",1494,"Karnataka",70159,"Bangalore Urban"
115,"India",1494,"Karnataka",17679,"Belgaum"
115,"India",1494,"Karnataka",17680,"Bellary"
115,"India",1494,"Karnataka",17681,"Bidar"
115,"India",1494,"Karnataka",17682,"Bijapur"
115,"India",1494,"Karnataka",70160,"Chamrajnagar"
115,"India",1494,"Karnataka",17683,"Chikmagalur"
115,"India",1494,"Karnataka",70161,"Chitradurga"
115,"India",1494,"Karnataka",17685,"Dakshin Kannad"
115,"India",1494,"Karnataka",70162,"Davanagere"
115,"India",1494,"Karnataka",17686,"Dharwad"
115,"India",1494,"Karnataka",70163,"Gadag"
115,"India",1494,"Karnataka",17687,"Gulbarga"
115,"India",1494,"Karnataka",17688,"Hassan"
115,"India",1494,"Karnataka",70164,"Haveri"
115,"India",1494,"Karnataka",17689,"Kodagu"
115,"India",1494,"Karnataka",17690,"Kolar"
115,"India",1494,"Karnataka",70165,"Koppal"
115,"India",1494,"Karnataka",17691,"Mandya"
115,"India",1494,"Karnataka",17692,"Mysore"
115,"India",1494,"Karnataka",17693,"Raichur"
115,"India",1494,"Karnataka",17694,"Shimoga"
115,"India",1494,"Karnataka",17695,"Tumkur"
115,"India",1494,"Karnataka",70166,"Udupi"
115,"India",1494,"Karnataka",17696,"Uttar Kannand"
115,"India",1495,"Kerala",70298,"Alappuzha"
115,"India",1495,"Kerala",17699,"Ernakulam"
115,"India",1495,"Kerala",17700,"Idukki"
115,"India",1495,"Kerala",17698,"Kannur"
115,"India",1495,"Kerala",17701,"Kasaragod"
115,"India",1495,"Kerala",17707,"Kollam"
115,"India",1495,"Kerala",17702,"Kottayam"
115,"India",1495,"Kerala",17703,"Kozhikode"
115,"India",1495,"Kerala",17704,"Malappuram"
115,"India",1495,"Kerala",17705,"Palakkad"
